Thread №3 | Iterator: 1 | Time: 19:51:49
Thread №1 | Iterator: 205 | Time: 19:52:43
Thread №3 | Iterator: 206 | Time: 19:52:43
Thread №1 | Iterator: 207 | Time: 19:52:43
Thread №2 | Iterator: 208 | Time: 19:52:43
Thread №1 | Iterator: 209 | Time: 19:52:44
Thread №3 | Iterator: 210 | Time: 19:52:44
Thread №1 | Iterator: 211 | Time: 19:52:44
Thread №2 | Iterator: 212 | Time: 19:52:44
Thread №1 | Iterator: 213 | Time: 19:52:45
Thread №3 | Iterator: 214 | Time: 19:52:45
Thread №1 | Iterator: 215 | Time: 19:52:45
Thread №2 | Iterator: 216 | Time: 19:52:45
Thread №3 | Iterator: 217 | Time: 19:52:46
Thread №2 | Iterator: 218 | Time: 19:52:46
Thread №1 | Iterator: 219 | Time: 19:52:46
Thread №2 | Iterator: 220 | Time: 19:52:46
Thread №3 | Iterator: 221 | Time: 19:52:47
Thread №2 | Iterator: 222 | Time: 19:52:47
Thread №1 | Iterator: 223 | Time: 19:52:47
Thread №2 | Iterator: 224 | Time: 19:52:47
Thread №3 | Iterator: 225 | Time: 19:52:48
Thread №2 | Iterator: 226 | Time: 19:52:48
Thread №1 | Iterator: 227 | Time: 19:52:48
Thread №2 | Iterator: 228 | Time: 19:52:48
Thread №3 | Iterator: 229 | Time: 19:52:49
Thread №2 | Iterator: 230 | Time: 19:52:49
Thread №1 | Iterator: 231 | Time: 19:52:49
Thread №2 | Iterator: 232 | Time: 19:52:49
Thread №3 | Iterator: 233 | Time: 19:52:50
Thread №2 | Iterator: 234 | Time: 19:52:50
Thread №1 | Iterator: 235 | Time: 19:52:50
Thread №2 | Iterator: 236 | Time: 19:52:50
Thread №3 | Iterator: 237 | Time: 19:52:51
Thread №1 | Iterator: 238 | Time: 19:52:51
Thread №2 | Iterator: 239 | Time: 19:52:51
Thread №1 | Iterator: 240 | Time: 19:52:52
